player_names_name,player_names_url,player_names_num_nat_name,player_names_basic_bio_name
Kyle Edmund,https://www.atpworldtour.com/en/players/kyle-edmund/e831/overview,16,
Kyle Edmund,https://www.atpworldtour.com/en/players/kyle-edmund/e831/overview,GBR,
,,,23 (1995.01.08)
,,,2012
,,,184lbs(83kg)
,,,"6'2""(188cm)"
,,,"Johannesburg, South Africa"
,,,"Nassau, Bahamas"
,,,"Right-Handed, Two-Handed Backhand"
,,,Fredrik Rosengren
Lucas Pouille,https://www.atpworldtour.com/en/players/lucas-pouille/pf39/overview,17,
Lucas Pouille,https://www.atpworldtour.com/en/players/lucas-pouille/pf39/overview,FRA,
,,,24 (1994.02.23)
,,,2012
,,,179lbs(81kg)
,,,"6'1""(185cm)"
,,,"Grande-Synthe, France"
,,,"Dubai, UAE"
,,,"Right-Handed, Two-Handed Backhand"
,,,Emmanuel Planque
Jack Sock,https://www.atpworldtour.com/en/players/jack-sock/sm25/overview,18,
Jack Sock,https://www.atpworldtour.com/en/players/jack-sock/sm25/overview,USA,
,,,25 (1992.09.24)
,,,2011
,,,185lbs(84kg)
,,,"6'3""(191cm)"
,,,"Lincoln, NE, USA"
,,,"Kansas City, KS, USA"
,,,"Right-Handed, Two-Handed Backhand"
,,,Mark Knowles
Kei Nishikori,https://www.atpworldtour.com/en/players/kei-nishikori/n552/overview,19,
Kei Nishikori,https://www.atpworldtour.com/en/players/kei-nishikori/n552/overview,JPN,
,,,28 (1989.12.29)
,,,2007
,,,165lbs(75kg)
,,,"5'10""(178cm)"
,,,"Shimane, Japan"
,,,"Bradenton, FL, USA"
,,,"Right-Handed, Two-Handed Backhand"
,,,"Dante Bottini, Michael Chang"
Borna Coric,https://www.atpworldtour.com/en/players/borna-coric/cg80/overview,20,
Borna Coric,https://www.atpworldtour.com/en/players/borna-coric/cg80/overview,CRO,
,,,21 (1996.11.14)
,,,2013
,,,187lbs(85kg)
,,,"6'2""(188cm)"
,,,"Zagreb, Croatia"
,,,"Dubai, UAE"
,,,"Right-Handed, Two-Handed Backhand"
,,,"Riccardo Piatti, Kristijan Schneider"
Marco Cecchinato,https://www.atpworldtour.com/en/players/marco-cecchinato/cf01/overview,21,
Marco Cecchinato,https://www.atpworldtour.com/en/players/marco-cecchinato/cf01/overview,ITA,
,,,25 (1992.09.30)
,,,2010
,,,172lbs(78kg)
,,,"6'1""(185cm)"
,,,"Palermo, Italy"
,,,"Palermo, Italy"
,,,"Right-Handed, One-Handed Backhand"
,,,Simone Vagnozzi
Roberto Bautista Agut,https://www.atpworldtour.com/en/players/roberto-bautista-agut/bd06/overview,22,
Roberto Bautista Agut,https://www.atpworldtour.com/en/players/roberto-bautista-agut/bd06/overview,ESP,
,,,30 (1988.04.14)
,,,2005
,,,165lbs(75kg)
,,,"6'0""(183cm)"
,,,"Castellon de la Plana, Spain"
,,,"Castellon de la Plana, Spain"
,,,"Right-Handed, Two-Handed Backhand"
,,,"Tomas Carbonell, Pepe Vendrell"
Hyeon Chung,https://www.atpworldtour.com/en/players/hyeon-chung/ch27/overview,23,
Hyeon Chung,https://www.atpworldtour.com/en/players/hyeon-chung/ch27/overview,KOR,
,,,22 (1996.05.19)
,,,2014
,,,192lbs(87kg)
,,,"6'2""(188cm)"
,,,"Suwon, South Korea"
,,,"Suwon, South Korea"
,,,"Right-Handed, Two-Handed Backhand"
,,,Neville Godwin
Milos Raonic,https://www.atpworldtour.com/en/players/milos-raonic/r975/overview,24,
Milos Raonic,https://www.atpworldtour.com/en/players/milos-raonic/r975/overview,CAN,
,,,27 (1990.12.27)
,,,2008
,,,216lbs(98kg)
,,,"6'5""(196cm)"
,,,"Podgorica, Montenegro"
,,,"Monte Carlo, Monaco"
,,,"Right-Handed, Two-Handed Backhand"
,,,Goran Ivanisevic
Richard Gasquet,https://www.atpworldtour.com/en/players/richard-gasquet/g628/overview,25,
Richard Gasquet,https://www.atpworldtour.com/en/players/richard-gasquet/g628/overview,FRA,
,,,32 (1986.06.18)
,,,2002
,,,165lbs(75kg)
,,,"6'1""(185cm)"
,,,"Beziers, France"
,,,"Neuchatel, Switzerland"
,,,"Right-Handed, One-Handed Backhand"
,,,"Fabrice Santoro, Thierry Tulasne"
Karen Khachanov,https://www.atpworldtour.com/en/players/karen-khachanov/ke29/overview,26,
Karen Khachanov,https://www.atpworldtour.com/en/players/karen-khachanov/ke29/overview,RUS,
,,,22 (1996.05.21)
,,,2013
,,,192lbs(87kg)
,,,"6'6""(198cm)"
,,,"Moscow, Russia"
,,,"Dubai, UAE"
,,,"Right-Handed, Two-Handed Backhand"
,,,Vedran Martic
Damir Dzumhur,https://www.atpworldtour.com/en/players/damir-dzumhur/d923/overview,27,
Damir Dzumhur,https://www.atpworldtour.com/en/players/damir-dzumhur/d923/overview,BIH,
,,,26 (1992.05.20)
,,,2011
,,,150lbs(68kg)
,,,"5'9""(175cm)"
,,,"Sarajevo, Bosnia-Herzegovina"
,,,"Sarajevo, Bosnia-Herzegovina"
,,,"Right-Handed, Two-Handed Backhand"
,,,Nerfid Dzumhur-Neno
Denis Shapovalov,https://www.atpworldtour.com/en/players/denis-shapovalov/su55/overview,28,
Denis Shapovalov,https://www.atpworldtour.com/en/players/denis-shapovalov/su55/overview,CAN,
,,,19 (1999.04.15)
,,,2017
,,,165lbs(75kg)
,,,"6'0""(183cm)"
,,,"Tel Aviv, Israel"
,,,"Nassau, Bahamas"
,,,"Left-Handed, One-Handed Backhand"
,,,"Martin Laurendeau, Tessa Shapovalova"
Adrian Mannarino,https://www.atpworldtour.com/en/players/adrian-mannarino/me82/overview,29,
Adrian Mannarino,https://www.atpworldtour.com/en/players/adrian-mannarino/me82/overview,FRA,
,,,30 (1988.06.29)
,,,2004
,,,154lbs(70kg)
,,,"5'11""(180cm)"
,,,"Soisy-sous-Montmorency, France"
,,,"Valletta, Malta"
,,,"Left-Handed, Two-Handed Backhand"
,,,Jean-Christophe Faurel
Nick Kyrgios,https://www.atpworldtour.com/en/players/nick-kyrgios/ke17/overview,30,
Nick Kyrgios,https://www.atpworldtour.com/en/players/nick-kyrgios/ke17/overview,AUS,
,,,23 (1995.04.27)
,,,2013
,,,187lbs(85kg)
,,,"6'4""(193cm)"
,,,"Canberra, Australia"
,,,"Canberra, AUS / Nassau, BAH"
,,,"Right-Handed, Two-Handed Backhand"
Steve Johnson,https://www.atpworldtour.com/en/players/steve-johnson/j386/overview,31,
Steve Johnson,https://www.atpworldtour.com/en/players/steve-johnson/j386/overview,USA,
,,,28 (1989.12.24)
,,,2012
,,,190lbs(86kg)
,,,"6'2""(188cm)"
,,,"Orange, CA, USA"
,,,"Redondo Beach, CA, USA"
,,,"Right-Handed, Two-Handed Backhand"
,,,Craig Boynton
Fernando Verdasco,https://www.atpworldtour.com/en/players/fernando-verdasco/v306/overview,32,
Fernando Verdasco,https://www.atpworldtour.com/en/players/fernando-verdasco/v306/overview,ESP,
,,,34 (1983.11.15)
,,,2001
,,,198lbs(90kg)
,,,"6'2""(188cm)"
,,,"Madrid, Spain"
,,,"Doha, Qatar"
,,,"Left-Handed, Two-Handed Backhand"
,,,Nacho Truyol
Filip Krajinovic,https://www.atpworldtour.com/en/players/filip-krajinovic/kb05/overview,33,
Filip Krajinovic,https://www.atpworldtour.com/en/players/filip-krajinovic/kb05/overview,SRB,
,,,26 (1992.02.27)
,,,2008
,,,165lbs(75kg)
,,,"6'1""(185cm)"
,,,"Sombor, Serbia"
,,,"Monte Carlo, Monaco"
,,,"Right-Handed, Two-Handed Backhand"
,,,Petar Popovic
Philipp Kohlschreiber,https://www.atpworldtour.com/en/players/philipp-kohlschreiber/k435/overview,34,
Philipp Kohlschreiber,https://www.atpworldtour.com/en/players/philipp-kohlschreiber/k435/overview,GER,
,,,34 (1983.10.16)
,,,2001
,,,154lbs(70kg)
,,,"5'10""(178cm)"
,,,"Augsburg, Germany"
,,,"Kitzbuhel, Austria"
,,,"Right-Handed, One-Handed Backhand"
,,,Lars Uebel
Sam Querrey,https://www.atpworldtour.com/en/players/sam-querrey/q927/overview,35,
Sam Querrey,https://www.atpworldtour.com/en/players/sam-querrey/q927/overview,USA,
,,,30 (1987.10.07)
,,,2006
,,,210lbs(95kg)
,,,"6'6""(198cm)"
,,,"San Francisco, CA, USA"
,,,"Las Vegas, NV, USA"
,,,"Right-Handed, Two-Handed Backhand"
,,,Craig Boynton
Daniil Medvedev,https://www.atpworldtour.com/en/players/daniil-medvedev/mm58/overview,36,
Daniil Medvedev,https://www.atpworldtour.com/en/players/daniil-medvedev/mm58/overview,RUS,
,,,22 (1996.02.11)
,,,2014
,,,181lbs(82kg)
,,,"6'6""(198cm)"
,,,"Moscow, Russia"
,,,"Monte Carlo, Monaco"
,,,"Right-Handed, Two-Handed Backhand"
,,,Gilles Cervara
Nikoloz Basilashvili,https://www.atpworldtour.com/en/players/nikoloz-basilashvili/bg23/overview,37,
Nikoloz Basilashvili,https://www.atpworldtour.com/en/players/nikoloz-basilashvili/bg23/overview,GEO,
,,,26 (1992.02.23)
,,,2008
,,,174lbs(79kg)
,,,"6'1""(185cm)"
,,,"Tbilisi, Georgia"
,,,"Tbilisi, Georgia"
,,,"Right-Handed, Two-Handed Backhand"
,,,Jan De Witt
Andrey Rublev,https://www.atpworldtour.com/en/players/andrey-rublev/re44/overview,38,
Andrey Rublev,https://www.atpworldtour.com/en/players/andrey-rublev/re44/overview,RUS,
,,,20 (1997.10.20)
,,,2014
,,,154lbs(70kg)
,,,"6'2""(188cm)"
,,,"Moscow, Russia"
,,,"Moscow, Russia"
,,,"Right-Handed, Two-Handed Backhand"
,,,Fernando Vicente
Gael Monfils,https://www.atpworldtour.com/en/players/gael-monfils/mc65/overview,39,
Gael Monfils,https://www.atpworldtour.com/en/players/gael-monfils/mc65/overview,FRA,
,,,31 (1986.09.01)
,,,2004
,,,176lbs(80kg)
,,,"6'4""(193cm)"
,,,"Paris, France"
,,,Switzerland
,,,"Right-Handed, Two-Handed Backhand"
Gilles Simon,https://www.atpworldtour.com/en/players/gilles-simon/sd32/overview,40,
Gilles Simon,https://www.atpworldtour.com/en/players/gilles-simon/sd32/overview,FRA,
,,,33 (1984.12.27)
,,,2002
,,,154lbs(70kg)
,,,"6'0""(183cm)"
,,,"Nice, France"
,,,"Neuchatel, Switzerland"
,,,"Right-Handed, Two-Handed Backhand"
Marton Fucsovics,https://www.atpworldtour.com/en/players/marton-fucsovics/f724/overview,41,
Marton Fucsovics,https://www.atpworldtour.com/en/players/marton-fucsovics/f724/overview,HUN,
,,,26 (1992.02.08)
,,,2010
,,,181lbs(82kg)
,,,"6'2""(188cm)"
,,,"Nyiregyhaza, Hungary"
,,,"Budapest, Hungary"
,,,"Right-Handed, Two-Handed Backhand"
,,,Attila Savolt
Nicolas Jarry,https://www.atpworldtour.com/en/players/nicolas-jarry/j551/overview,42,
Nicolas Jarry,https://www.atpworldtour.com/en/players/nicolas-jarry/j551/overview,CHI,
,,,22 (1995.10.11)
,,,2014
,,,198lbs(90kg)
,,,"6'6""(198cm)"
,,,"Santiago, Chile"
,,,"Santiago, Chile"
,,,"Right-Handed, Two-Handed Backhand"
,,,Martin Rodriguez
Leonardo Mayer,https://www.atpworldtour.com/en/players/leonardo-mayer/md56/overview,43,
Leonardo Mayer,https://www.atpworldtour.com/en/players/leonardo-mayer/md56/overview,ARG,
,,,31 (1987.05.15)
,,,2003
,,,176lbs(80kg)
,,,"6'3""(191cm)"
,,,"Corrientes, Argentina"
,,,"Buenos Aires, Argentina"
,,,"Right-Handed, One-Handed Backhand"
,,,"Mariano Hood, Leo Alonso"
Frances Tiafoe,https://www.atpworldtour.com/en/players/frances-tiafoe/td51/overview,44,
Frances Tiafoe,https://www.atpworldtour.com/en/players/frances-tiafoe/td51/overview,USA,
,,,20 (1998.01.20)
,,,2015
,,,170lbs(77kg)
,,,"6'2""(188cm)"
,,,"Hyattsville, MD, USA"
,,,"Orlando, FL, USA"
,,,"Right-Handed, Two-Handed Backhand"
,,,Robby Ginepri
Alex de Minaur,https://www.atpworldtour.com/en/players/alex-de-minaur/dh58/overview,45,
Alex de Minaur,https://www.atpworldtour.com/en/players/alex-de-minaur/dh58/overview,AUS,
,,,19 (1999.02.17)
,,,2015
,,,152lbs(69kg)
,,,"5'11""(180cm)"
,,,"Sydney, Australia"
,,,"Alicante, Spain"
,,,"Right-Handed, Two-Handed Backhand"
,,,Adolfo Gutierrez
Jeremy Chardy,https://www.atpworldtour.com/en/players/jeremy-chardy/ca12/overview,46,
Jeremy Chardy,https://www.atpworldtour.com/en/players/jeremy-chardy/ca12/overview,FRA,
,,,31 (1987.02.12)
,,,2005
,,,165lbs(75kg)
,,,"6'2""(188cm)"
,,,"Pau, France"
,,,"London, England"
,,,"Right-Handed, Two-Handed Backhand"
,,,James Davidson
Peter Gojowczyk,https://www.atpworldtour.com/en/players/peter-gojowczyk/g967/overview,47,
Peter Gojowczyk,https://www.atpworldtour.com/en/players/peter-gojowczyk/g967/overview,GER,
,,,29 (1989.07.15)
,,,2006
,,,183lbs(83kg)
,,,"6'2""(188cm)"
,,,"Munich, Germany"
,,,"Munich, Germany"
,,,"Right-Handed, Two-Handed Backhand"
,,,Alexander Satschko
Mischa Zverev,https://www.atpworldtour.com/en/players/mischa-zverev/z168/overview,48,
Mischa Zverev,https://www.atpworldtour.com/en/players/mischa-zverev/z168/overview,GER,
,,,31 (1987.08.22)
,,,2005
,,,194lbs(88kg)
,,,"6'3""(191cm)"
,,,"Moscow, Russia"
,,,"Monte Carlo, Monaco"
,,,"Left-Handed, Two-Handed Backhand"
,,,Alexander Zverev Sr.
Robin Haase,https://www.atpworldtour.com/en/players/robin-haase/h756/overview,49,
Robin Haase,https://www.atpworldtour.com/en/players/robin-haase/h756/overview,NED,
,,,31 (1987.04.06)
,,,2005
,,,170lbs(77kg)
,,,"6'3""(191cm)"
,,,"The Hague, The Netherlands"
,,,"Turnhout, Belgium"
,,,"Right-Handed, Two-Handed Backhand"
,,,Raymond Knaap
Maximilian Marterer,https://www.atpworldtour.com/en/players/maximilian-marterer/mn13/overview,50,
Maximilian Marterer,https://www.atpworldtour.com/en/players/maximilian-marterer/mn13/overview,GER,
,,,23 (1995.06.15)
,,,2015
,,,185lbs(84kg)
,,,"6'3""(191cm)"
,,,"Nuremberg, Germany"
,,,"Stein, Germany"
,,,"Left-Handed, Two-Handed Backhand"
,,,Michael Kohlmann
Andreas Seppi,https://www.atpworldtour.com/en/players/andreas-seppi/sa93/overview,51,
Andreas Seppi,https://www.atpworldtour.com/en/players/andreas-seppi/sa93/overview,ITA,
,,,34 (1984.02.21)
,,,2002
,,,172lbs(78kg)
,,,"6'3""(191cm)"
,,,"Bolzano, Italy"
,,,"Caldaro, Italy"
,,,"Right-Handed, Two-Handed Backhand"
,,,Massimo Sartori
Albert Ramos-Vinolas,https://www.atpworldtour.com/en/players/albert-ramos-vinolas/r772/overview,52,
Albert Ramos-Vinolas,https://www.atpworldtour.com/en/players/albert-ramos-vinolas/r772/overview,ESP,
,,,30 (1988.01.17)
,,,2007
,,,177lbs(80kg)
,,,"6'2""(188cm)"
,,,"Barcelona, Spain"
,,,"Mataro, Spain"
,,,"Left-Handed, Two-Handed Backhand"
,,,"Jose Maria Diaz, Noe Losmozos, Juan M. Ros"
Ryan Harrison,https://www.atpworldtour.com/en/players/ryan-harrison/h940/overview,53,
Ryan Harrison,https://www.atpworldtour.com/en/players/ryan-harrison/h940/overview,USA,
,,,26 (1992.05.07)
,,,2007
,,,185lbs(84kg)
,,,"6'1""(185cm)"
,,,"Shreveport, LA, USA"
,,,"Austin, TX, USA"
,,,"Right-Handed, Two-Handed Backhand"
,,,Davide Sanguinetti
Matthew Ebden,https://www.atpworldtour.com/en/players/matthew-ebden/e690/overview,54,
Matthew Ebden,https://www.atpworldtour.com/en/players/matthew-ebden/e690/overview,AUS,
,,,30 (1987.11.26)
,,,2006
,,,176lbs(80kg)
,,,"6'2""(188cm)"
,,,"Durban, South Africa"
,,,"Perth, Australia"
,,,"Right-Handed, Two-Handed Backhand"
,,,Liam Smith
John Millman,https://www.atpworldtour.com/en/players/john-millman/mh30/overview,55,
John Millman,https://www.atpworldtour.com/en/players/john-millman/mh30/overview,AUS,
,,,29 (1989.06.14)
,,,2006
,,,175lbs(79kg)
,,,"6'0""(183cm)"
,,,"Brisbane, Australia"
,,,"Brisbane, Australia"
,,,"Right-Handed, Two-Handed Backhand"
,,,Mark Draper
Benoit Paire,https://www.atpworldtour.com/en/players/benoit-paire/pd31/overview,56,
Benoit Paire,https://www.atpworldtour.com/en/players/benoit-paire/pd31/overview,FRA,
,,,29 (1989.05.08)
,,,2007
,,,176lbs(80kg)
,,,"6'5""(196cm)"
,,,"Avignon, France"
,,,"Geneva, Switzerland"
,,,"Right-Handed, Two-Handed Backhand"
,,,Jean-Charles Diame
Matteo Berrettini,https://www.atpworldtour.com/en/players/matteo-berrettini/bk40/overview,57,
Matteo Berrettini,https://www.atpworldtour.com/en/players/matteo-berrettini/bk40/overview,ITA,
,,,22 (1996.04.12)
,,,2015
,,,198lbs(90kg)
,,,"6'5""(196cm)"
,,,"Rome, Italy"
,,,"Rome, Italy"
,,,"Right-Handed, Two-Handed Backhand"
,,,"Vincenzo Santopadre, Umberto Rianna"
Jan-Lennard Struff,https://www.atpworldtour.com/en/players/jan-lennard-struff/sl28/overview,58,
Jan-Lennard Struff,https://www.atpworldtour.com/en/players/jan-lennard-struff/sl28/overview,GER,
,,,28 (1990.04.25)
,,,2009
,,,192lbs(87kg)
,,,"6'5""(196cm)"
,,,"Warstein, Germany"
,,,"Warstein, Germany"
,,,"Right-Handed, Two-Handed Backhand"
,,,Carsten Arriens
Malek Jaziri,https://www.atpworldtour.com/en/players/malek-jaziri/j267/overview,59,
Malek Jaziri,https://www.atpworldtour.com/en/players/malek-jaziri/j267/overview,TUN,
,,,34 (1984.01.20)
,,,2003
,,,179lbs(81kg)
,,,"6'1""(185cm)"
,,,"Bizerte, Tunisia"
,,,"Tunis, Tunisia"
,,,"Right-Handed, Two-Handed Backhand"
,,,Christophe Freyss
Julien Benneteau,https://www.atpworldtour.com/en/players/julien-benneteau/b747/overview,60,
Julien Benneteau,https://www.atpworldtour.com/en/players/julien-benneteau/b747/overview,FRA,
,,,36 (1981.12.20)
,,,2000
,,,174lbs(79kg)
,,,"6'1""(185cm)"
,,,"Bourg-en-Bresse, France"
,,,"Boulogne-Billancourt, France"
,,,"Right-Handed, Two-Handed Backhand"
,,,Antoine Benneteau
Tennys Sandgren,https://www.atpworldtour.com/en/players/tennys-sandgren/sl08/overview,61,
Tennys Sandgren,https://www.atpworldtour.com/en/players/tennys-sandgren/sl08/overview,USA,
,,,27 (1991.07.22)
,,,2011
,,,192lbs(87kg)
,,,"6'2""(188cm)"
,,,"Gallatin, TN, USA"
,,,"Gallatin, TN, USA"
,,,"Right-Handed, Two-Handed Backhand"
,,,Jim Madrigal
Dusan Lajovic,https://www.atpworldtour.com/en/players/dusan-lajovic/l987/overview,62,
Dusan Lajovic,https://www.atpworldtour.com/en/players/dusan-lajovic/l987/overview,SRB,
,,,28 (1990.06.30)
,,,2007
,,,183lbs(83kg)
,,,"6'0""(183cm)"
,,,"Belgrade, Serbia"
,,,"Stara Pazova, Serbia"
,,,"Right-Handed, One-Handed Backhand"
,,,Jose Perlas
Feliciano Lopez,https://www.atpworldtour.com/en/players/feliciano-lopez/l397/overview,63,
Feliciano Lopez,https://www.atpworldtour.com/en/players/feliciano-lopez/l397/overview,ESP,
,,,36 (1981.09.20)
,,,1997
,,,194lbs(88kg)
,,,"6'2""(188cm)"
,,,"Toledo, Spain"
,,,"Madrid, Spain"
,,,"Left-Handed, One-Handed Backhand"
,,,Jose “Pepo” Clavet
Taro Daniel,https://www.atpworldtour.com/en/players/taro-daniel/da81/overview,64,
Taro Daniel,https://www.atpworldtour.com/en/players/taro-daniel/da81/overview,JPN,
,,,25 (1993.01.27)
,,,2010
,,,168lbs(76kg)
,,,"6'3""(191cm)"
,,,"New York, NY, USA"
,,,"Bradenton, FL, USA"
,,,"Right-Handed, Two-Handed Backhand"
,,,Mitsuru Takada
Jo-Wilfried Tsonga,https://www.atpworldtour.com/en/players/jo-wilfried-tsonga/t786/overview,65,
Jo-Wilfried Tsonga,https://www.atpworldtour.com/en/players/jo-wilfried-tsonga/t786/overview,FRA,
,,,33 (1985.04.17)
,,,2004
,,,200lbs(91kg)
,,,"6'2""(188cm)"
,,,"Le Mans, France"
,,,"Gingins, Switzerland"
,,,"Right-Handed, Two-Handed Backhand"
,,,Thierry Ascione
Guido Pella,https://www.atpworldtour.com/en/players/guido-pella/pc11/overview,66,
Guido Pella,https://www.atpworldtour.com/en/players/guido-pella/pc11/overview,ARG,
,,,28 (1990.05.17)
,,,2007
,,,183lbs(83kg)
,,,"6'1""(185cm)"
,,,"Bahia Blanca, Argentina"
,,,"Buenos Aires, Argentina"
,,,"Left-Handed, Two-Handed Backhand"
,,,Gustavo Marcaccio
Cameron Norrie,https://www.atpworldtour.com/en/players/cameron-norrie/n771/overview,67,
Cameron Norrie,https://www.atpworldtour.com/en/players/cameron-norrie/n771/overview,GBR,
,,,23 (1995.08.23)
,,,2017
,,,180lbs(82kg)
,,,"6'2""(188cm)"
,,,"Johannesburg, South Africa"
,,,"London, England"
,,,"Left-Handed, Two-Handed Backhand"
,,,Facundo Lugones
